タイムスタンプ,02　新規登録ですか、修正依頼ですか,03　店舗名（正式名称）＜公開＞,04-1　店舗住所・区名＜公開＞,04-2　店舗住所・区以降＜公開＞,04-3　店舗住所・建物名称など＜公開＞,04-4　【任意】店舗の正確な位置（緯度・経度）が分かる方は入力をお願いします＜公開＞,05　店舗の電話番号（ハイフンなし）＜公開＞,06　最寄り駅＜公開＞,07　提供の条件（提供時間・曜日）＜公開＞,08　定休日＜公開＞,09　店舗　ウェブサイトURL＜公開＞,10　店舗　SNS＜公開＞,11　料理のジャンル＜公開＞,12　テイクアウト（持ち帰り）はできますか＜公開＞,13-1　デリバリー（宅配・出前）はできますか＜公開＞,13-2　デリバリー（宅配・出前）の配達・配送料＜公開＞,14　店舗からのメッセージ＜公開＞,15-1a　【メニュー１】メニュー名＜公開＞,15-1b　【メニュー１】税込価格＜公開＞,15-2a　【メニュー２】メニュー名＜公開＞,15-2b　【メニュー２】税込価格＜公開＞,15-3a　【メニュー３】メニュー名＜公開＞,15-3b　【メニュー３】税込価格＜公開＞,15-4　【メニュー4以降】メニュー名、税込価格＜公開＞,
4/22/2020 11:54:54,新規登録,若竹　日吉駅前店,港北区,日吉本町1-23-12,ライオンズマンション日吉台1階,,0455616354,日吉駅,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ000213843/,,お好み焼き・たこ焼き・焼きそば・広島焼,はい,いいえ,,お店の味をご家庭やオフィスで!!週に一度は食べたくなる最強粉もの!!,お好み焼き,600,,,,,,
4/22/2020 11:57:49,新規登録,若竹　新横浜駅前店,港北区,新横浜2-5-26,新横浜SSビル４階,,0454731413,新横浜駅,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ000020919/,,お好み焼き・たこ焼き・焼きそば・広島焼,はい,いいえ,,お店の味をご家庭やオフィスで!!週に一度は食べたくなる最強粉もの!!,お好み焼き,600,,,,,,
4/22/2020 12:00:28,新規登録,ジャグカフェ　ジャグスカッドベース,中区,元町１－２１－２,田中ビル１F,,0456633736,元町中華街駅5番出口,テイクアウト　11時30分～２０時,"火曜日, 水曜日, 木曜日, 金曜日, 土曜日, 日曜日",http://www.jagskadd.com/,https://www.instagram.com/jagcafe/,洋食,はい,いいえ,,2006年に開店し、元町で愛され１４年のジャグカフェです。多彩なメニューをテイクアウトできます。ステーキや生姜焼き弁当、オムライスが人気ですよ！,豚ロース生姜焼き丼,650,エビクリームオムライス,1100,エビイカキャベツの塩昆布ピラフ,950,牛リブ１５０gステーキ弁当　１１００,
4/22/2020 12:01:26,新規登録,魚鶏屋　新横浜駅前店,港北区,新横浜2-3-10,YK-8ビル　６階,,0454713838,新横浜駅,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ001036857/,,和食,はい,いいえ,,お店の味をご家庭やオフィスで味わえます！唐揚げなど絶品です!!,唐揚げ弁当,500,,,,,,
4/22/2020 12:06:07,新規登録,新横酒場　新横本店,港北区,新横浜2-3-10,YK-8ビル　５階,,0455346230,新横浜駅,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ001169885/,,ピザ,はい,いいえ,,お店の味をご家庭やオフィスで味わえます!!安くて旨い!!,若鶏の唐揚げやつまみ系など多種多様,400,,,,,,
4/22/2020 12:09:42,新規登録,小岩井牛乳横浜ミルクセンター,青葉区,元石川町5421-30,,,09035761144,たまプラーザ,,定休日なし,,,牛乳ヨーグルト果汁乳製品ソフトドリンク他,いいえ,はい,無料,イーハトーヴゥの国 小岩井農場からお届け…,,,,,,,,
4/22/2020 12:10:28,新規登録,関内酒場　関内本店,中区,末広町2-4-7,,,0453414415,関内駅,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ001171183/,,お惣菜,はい,いいえ,,お店の味をご家庭やオフィスで味わえます!!安くて旨い!!,若鶏の唐揚げなど、つまみ系が多種多様あります。,400,,,,,,
4/22/2020 12:13:10,新規登録,鶴見酒場　鶴見本店,鶴見区,鶴見中央1-19-5,新栄ビル１階,,0457178217,鶴見駅東口,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ001184829/,,お惣菜,はい,いいえ,,お店の味をご家庭やオフィスで味わえます!!安くて旨い!!,若鶏の唐揚げなど、つまみ系多種多様,500,,,,,,
4/22/2020 12:15:34,新規登録,鶴見酒場　鶴見西口店,鶴見区,豊岡町17-3,新橋ビル２階,,0455716326,鶴見駅西口,テイクアウト14時～20時まで,定休日なし,https://www.hotpepper.jp/strJ000044390/,,お惣菜,はい,いいえ,,お店の味をご家庭やオフィスで味わえます!!安くて旨い!!,若鶏の唐揚げなど、つまみ系多種多様,400,,,,,,
4/22/2020 12:18:33,新規登録,そば処のみ処　和　鶴見店,鶴見区,豊岡町2-2,ツルミフーガ②　4階,,0455721095,鶴見駅西口,テイクアウト12時～20時まで,定休日なし,https://www.hotpepper.jp/strJ000662489/,,和食,はい,いいえ,,お店の味をご家庭やオフィスで味わえます!!,かつ丼などご飯物系からつまみ系多種多様,500,,,,,,
4/22/2020 12:33:27,新規登録,馬車道大かわ,中区,太田町4-48,川島ビル,,0453239393,馬車道,12:00から19:00まで日曜日を除く,日曜日,https://tabelog.com/kanagawa/A1401/A140104/14061395/,,和食,はい,はい,"１２０００円以上で配送可能
",季節の食材をふんだんに使って手間暇かけてお作りした日本料理の折り詰め弁当です。このような大変なときだからこそ、美味しくて温かみのあるお料理をご自宅にご提供させていただきます。どうぞよろしくお願いします。,"鯛のきずしの重ね弁当
",4000,毛ガニ1/2とローストビーフのお弁当,4000,煮アワビとローストビーフのお弁当,4000,"名物鯖寿司3500  
  2?3人折り詰めのお料理12000
3…6人折り詰めのお料理18000
端午の節句のお料理三段重20000",
4/22/2020 12:34:15,修正依頼,馬車道大かわ,中区,太田町4-48,川島ビル,,0453239393,馬車道,12:00から19:00まで日曜日を除く,日曜日,https://tabelog.com/kanagawa/A1401/A140104/14061395/,,和食,はい,はい,"１２０００円以上で配送可能
",季節の食材をふんだんに使って手間暇かけてお作りした日本料理の折り詰め弁当です。このような大変なときだからこそ、美味しくて温かみのあるお料理をご自宅にご提供させていただきます。どうぞよろしくお願いします。,"鯛のきずしの重ね弁当
",4000,毛ガニ1/2とローストビーフのお弁当,4000,煮アワビとローストビーフのお弁当,4000,"名物鯖寿司3500  
  2?3人折り詰めのお料理12000
3…6人折り詰めのお料理18000
端午の節句のお料理三段重20000",
4/22/2020 12:50:55,新規登録,一の酉　戸塚原宿店,戸塚区,原宿４－１－５,,,0458523330,戸塚駅,17:00から22:00迄テイクアウトのみ,月曜日,https://www.xn--u9j030gqe0c.com/,,お弁当,はい,いいえ,,普段は店内でしか食べられない特製焼き鳥丼をはじめ、焼き鳥各種、四川麻婆豆腐迄、色々テイクアウト出来ます。,特製焼き鳥弁当,626,四川麻婆豆腐,734,特製鶏煮込,335,,
4/22/2020 13:02:50,新規登録,滝酒房,鶴見区,豊岡町21-8,,,0455755889,京浜東北線　鶴見駅,月曜日～土曜日の11時30分～19時迄,日曜日,https://www.facebook.com/瀧酒房めぐ美-726466040725819/,https://www.facebook.com/瀧酒房めぐ美-726466040725819/,和食,はい,はい,"1件につき500円の配送料
6000以上のご注文は配送料無料",当店自慢の牛もつ煮や焼き鳥、オリジナルの唐揚げをご賞味ください,おまかせ揚げ物セット(２、３人前),1200,焼き串いろいろセット(10本),1200,牛もつ煮,400,"唐揚げ400円
鶏の半身揚げ700円
天ぷら盛り(5種類)900円
牛丼450円
カツ丼450円
特製幕の内弁当1000円
《焼き鳥》
カシラ、タン、ハツ、白、ナンコツ各145円(1本)
古白鶏もも串(1本)290円
古白鶏ねぎま串(1本)300円
古白鶏ニンニク串(1本)350円
古白鶏皮串(1本)150円
古白鶏ぼんじり串(1本)150円
古白鶏レバ串(2本)350円
古白鶏手羽先串(1本)250円",
4/22/2020 13:39:32,新規登録,ぷちらぱん,戸塚区,吉田町144,オオノビル1f,,0458660315,戸塚駅,テイクアウト9:00?18:30 毎日,定休日なし,,,サンドイッチ、食パンなど、,はい,いいえ,,創業25年、地域に根差すパンの老舗です。,ヒレカツサンド,360,食パン,280,ビストロカレーパン,280,カスタードクリーム200,
4/22/2020 14:06:18,新規登録,Handmade cafe USAGIUMA,保土ケ谷区,天王町1-2-3,,,,天王町駅,"テイクアウトは基本水木金12:00?19:00ですが日によって変わる場合があります。
通常は店内のみで木?日の11:30?17:30でやっていました。","月曜日, 火曜日, 土曜日, 日曜日, 定休日なし",https://handmadecafeusagiuma.shopinfo.jp/,https://www.instagram.com/handmade_cafe_usagiuma/,お惣菜,はい,いいえ,,"ご家庭の食卓にあと一品欲しい時に使っていただきたいです。
基本的にお野菜を使ったお惣菜が多いです。
お待ちしています。",,,,,,,,
4/22/2020 14:47:15,新規登録,横浜　美海寿司,西区,岡野1-6-29,翔s横濱ビル1F左側,,0455345311,横浜駅,12時から20時まで 月曜日休み　デリバリー可　スタッフが少ない場合できないとかもあります。,月曜日,https://yokohama-minmi.owst.jp/,,寿司,はい,はい,5000円以上で無料,"職人15年の匠が丁寧に仕込む本格鮨
横浜駅徒歩5分、コロナで休業が相次ぐ中本格和食と、美味しい海鮮を味わえる個人店
美味しい海鮮を味わいたい方は是非ご利用下さい。

◆おすすめは特上バラチラシ鮨◆
生物です。1時間以内にお召し上がり下さい。",特上海鮮バラちらし,3780,並海鮮バラチラシ,2484,お子様用マグロ丼,324,穴子棒寿司弁当1728円、サバの棒寿司弁当1080円、※要予約持ち帰りオードブル10800円,
4/22/2020 15:28:06,新規登録,シナモンズ 横浜山下公園店,中区,山下町37-8,グローリオタワー103,,0453196134,元町中華街駅,,月曜日,,,ハンバーガー,はい,いいえ,,,ハンバーガー,1250,,,,,,
4/22/2020 15:56:04,新規登録,レストラン　ロッコ,西区,北幸2-9-30,横浜西口加藤ビルB1,,045-534-6934,横浜駅,"テイクアウト
火?土11:30?21:00(最終受渡)
日　17:00?21:00",月曜日,,,洋食,はい,いいえ,,"人気のハラミステーキやハンバーグをはじめ、手作り洋風お惣菜もたくさんあります！
お子様に食べやすい、優しい味わい！
ランチタイムとディナータイムでは、
メニューが異なりますので、ご注意ください！",ハンバーグ弁当(ランチタイム),950,デミグラスオムライス弁当(ランチタイム),950,洋食屋さんのナポリタン(ランチタイム),750,"辛うま！
HOTナポリタン(ランチタイム) 800",
4/22/2020 16:48:39,新規登録,カラオケダイニング　ブラッサム,戸塚区,戸塚町4790-1,森ビル1階,"35.4020389, 139.5306768",,戸塚駅,"テイクアウト12時?20時(なくなり次第終了)
デリバリーは近日中にスタート。",日曜日,,,カレー,はい,はい,100,,トロトロ柔らか牛すじカレー,500,スパイスが効いた牛たんカレー,800,,,,
4/22/2020 17:10:25,新規登録,鶏ふじ,中区,住吉町5-51,馬車道会館ビル１Ｆ,,0453196066,関内,営業時間内であればいつでも,日曜日,,,ラーメン,はい,いいえ,,,鶏まぜそば,500,魚介鶏まぜそば,550,バクダン鶏まぜそば,550,,
4/22/2020 17:10:53,新規登録,Jamz Cafe,南区,六ツ川1-618-1,弘明寺ニューフラワーマンション101,,0457210302,弘明寺,12:00?22:00テイクアウト,木曜日,,,洋食,はい,いいえ,,"カフェ&バースタイルで深夜帯まで営業しておりましたがこの度テイクアウトメインでお昼12:00?20:00までsocial distance守って席数を半減さて営業させていただいております。

人気あるカフェどんぶりを中心にご自宅でスパニッシュイタリアンスタイルのカジュアル感を演出していただけたら幸いです。また今後デリバリーも考えてますのでよろしくお願いします。",コロコロサイコロステーキdon,880,ふんわり玉子のオムライス,880,マグロの和風あま辛ソース竜田揚げdon,880,スペアリブ880円　生ハムのイタリアンサラダ580円プレミアムナポリターナ880円クワトロチーズのカルボナーラ1080円　サバとブロッコリーのしょうが風味ペペロンチーノ1180円　ジャーマンポテト680円　彩り野菜の明太子クリームパスタ980円 Jamzの前菜盛り合わせ980円　やわらか豚の角煮&山芋とろろdon880円　パストラミビーフと生クルトンのシーザーサラダ500円,
4/22/2020 17:16:37,新規登録,横濱亭,南区,六ッ川3-17-1,,,0120711662,弘明寺,毎日9時～19時30分（ランチは11時～14時）,定休日なし,https://www.yokohamatei.com,,お弁当,はい,はい,配送料無料（期間、地域など条件有）,ランチ弁当税込500円から。1個でもご自宅にお届け?,麻婆豆腐丼,500,海老天丼,600,日替わり中華弁当,600,"その他にもお得なランチを税込500～1,500円でご用意しております。",
4/22/2020 17:24:11,新規登録,スペインバスク料理ビオッツア,中区,長者町5-85,三共横浜ビル１F,"35.442230, 139.632266",0453153393,伊勢佐木長者町駅,テイクアウトは月火曜日を除く12:00から20：00（受付時間11：30～19：30）,"月曜日, 火曜日", https://bihotza0453153393.wixsite.com/bihotza  ,https://www.facebook.com/jatetxea.bihotza/  ,洋食,はい,はい,"5,000円以上ご購入の方のみ。
店舗から自転車10分（1キロ圏内）300円、それ以上（車使用　500円から800円）","本場で修業したオーナーが作る横浜では唯一のバスク料理を中心としたレストランです。バスク風あさりご飯、イカのスミ煮、バスクチーズケーキなど本場仕込みのお料理が大好評です！　デリバリーは5,000円以上お買い上げいただいた方限定とさせていただきます。
配達にかかる時間によって送料300～800円頂いております。　詳しくは電話にてお気軽にご連絡ください。",イカのスミ煮,1404,あさりご飯(2人前）,3024,バスク風チーズケーキ,648,"＝お得なセットメニュー＝ 
★お食事セット　8100　(2～3人前) 
ピンチョス＋前菜＋魚介メイン＋お肉＋ご飯がセット。  

★お肉盛り合わせ　6,480（2～3人前） 
パテ、豚肉、牛肉、カモ肉、フライドポテトがセット。
 
★おつまみセット　５,400（2～3人前） 
ピンチョス、前菜などの盛り合わせ。 

＝アラカルト＝ 

☆前菜盛り合わせ　人数×972

 ☆生ハム、腸詰盛り合わせ　S864、M1620、L2700 

☆スペイン風オムレツ　486
 
☆スペインポテトサラダ（ロシアンサラダ）648

☆ポテトフライ　Wソース付き　648 

☆マイワシのマリネ　972 

☆スペイン風モツ煮込み　　972

☆ミートボールのアーモンド煮込み　　1296 

☆子羊の煮込み（チリンドロンソース)　1620 

☆白身魚のサルサベルデ　　　　　　　1512 

☆牛ほほ肉の赤ワイン煮込み　　2268

☆スペイン産ガリシア栗豚ローストポーク　フライドポテト付き　1728 

☆NZ産のオーガニックビーフローストビーフ　フライドポテト付き　2700 

☆エビとイカの炊き込みご飯　2人前/2808

☆キノコと鶏肉の炊き込みご飯　2人前/2592 ",
4/22/2020 17:55:57,新規登録,ごはん屋米米,磯子区,森1-10-20 ,ライオンズステーションプラザ磯子1階,,0457510141,磯子,"テイクアウト　火曜日?日曜日17時?21時
テイクアウト　土曜日日曜日11:30?14時",月曜日,,,お弁当,はい,いいえ,,"みんなで自粛して1日でも普通の生活に！
撮影現場等でも提供しているごはん屋米米の栄養満点お弁当を是非！",黒毛和牛ハンバーグステーキ弁当　,1490,牛ハラミステーキ弁当,1382,えび天盛り弁当,1382,"・お魚幕の内弁当　1382円
・豚バラ塩焼き梅肉ソース弁当　1080円
・豚バラ茄子生姜焼き弁当　1080円
・チキンステーキ弁当　1080円
・とり唐揚げ弁当　1080円",
4/22/2020 18:18:22,新規登録,Cafebar & Lunch Box スマイル,栄区,小菅ヶ谷4-17-9,,,0454437830,本郷台,お弁当昼食デリバリーは10時半まで、夕食は4時までにご注文下さい。テイクアウトは、お電話等でご予約の上お願い致します。作り置きはございませんので、ご注意下さい。,日曜日,http://www.dai-show.com/smiletop.html,https://www.facebook.com/smilekoyamadai/,お弁当,はい,はい,指定区域外は配達料がかかります。ホームページをごらん下さい。,国産の食材を、化学調味料や保存料など使用せず調理しています。お米は、新潟県南魚沼笠原農園産のコシヒカリのみ使用しています。,日替わり弁当,650,栄丼　鶏そぼろ,500,鶏唐揚げ弁当,650,ホームページをご覧下さい！,
4/22/2020 18:18:48,新規登録,BISTRO Indigo jam,南区,大岡2-26-21,,,0453156545,市営地下鉄弘明寺,,日曜日,https://www.instagram.com/bistro_indigo_jam/,https://www.instagram.com/bistro_indigo_jam/,バインミー、フレンチ焼豚弁当、その他,はい,はい,徒歩圏内,,かねしち丸釜あげシラス重,1296,"フレンチ""焼豚""ジャンク弁当",1026,バインミー,1080,ブラウンマッシュルームのサラダ　1296,
4/22/2020 18:21:32,新規登録,Cafe & 逃げBar White Out,神奈川区,松本町6-45-4,市川ビル1階,,09092096884,三ツ沢下町駅,日・月・金 12:30~21:00 営業,水曜日,https://www.nigebar.com/,https://twitter.com/nigebar0,カレー,はい,いいえ,,農家直送の有機野菜を使ったオーガニックカフェ＆バー。国際中医薬膳調理師の開発した健康的で美味しい旬の野菜を使ったオリジナルメニューをお楽しみください。,ぶっとびベジカレー【ヴィーガン対応】,600,有機農園サラダ　甲州やまご味噌を使った特性ドレッシングで,400,ルーロー飯,800,,
4/22/2020 18:22:39,新規登録,MOTOWN DINER,戸塚区,上矢部町1808-1 ,Family Village 1F-C,,0454435449,戸塚駅,テイクアウト/店内共に11:00-23:00（休業要請中は20時まで）,月曜日,https://www.heresie.net,https://www.instagram.com/motown_diner2019/,洋食,はい,いいえ,,ボリューム満点のステーキ丼、タコライス、ハンバーグをはじめ、店内メニューもお持ち帰り可能です。,サイコロステーキどん,1200,タコライス,800,チキンステーキどん,900,,
4/22/2020 18:27:15,新規登録,AQUILA VOLANS(アクイラ・ウォランス),中区,山下町２０４－１,ダイワロイネットホテル横浜公園２Ｆ,"35.443446,139.642075",0452644215,関内・石川町・日本大通り駅,平日11:30から売り切れるまで,日曜日,https://www.al-tair.co.jp,https://www.facebook.com/aquilavolans/,洋食,はい,はい,無料(店舗周辺エリア・要相談),"テーマは、『会社や家でも、楽しいランチ』
レストランは、生活の一部として、仕事や家庭で起こる色々な出来事の中で、美味しいものを食べて、笑いながら仲間や家族と話し、『さぁ～今日（明日）も頑張ろう』と思ってもらえる場所だと思ってます。
昨今の情勢の中で、
『楽しいはずのランチタイム・息抜きの為のランチタイム』
が、なかなか思うように出来ないという声を聞きます。
学校が休み…在宅勤務…自粛…仕事には来たけど外出禁止…
ストレスも溜まる！！息も抜けない！！たまには、母親も少し休みたい！！会社の中でも美味しくて楽しいランチにしたい！！
安心してください。
私達、例えレストランの外だとしても頑張ります。",シェフのおまかせ弁当,600,まかない弁当,600,ピッツァ・マルゲリータ,800,おすすめピッツァ(1000),
